frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle
1.0,0.016666666666666666,0.001001606171152722,887:434,996:354,513:508:483:299:776:257:806:465,2.203942776090241
2.0,0.03333333333333333,0.0010003440694441492,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
3.0,0.05,0.0010003440694441492,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
4.0,0.06666666666666667,0.0010003440694441492,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
5.0,0.08333333333333333,0.0009990791894916476,887:434,996:354,513:507:483:298:776:257:806:466,2.203942776090241
6.0,0.1,0.0009990791894916476,887:434,996:354,513:507:483:298:776:257:806:466,2.203942776090241
7.0,0.11666666666666667,0.0009990791894916476,887:434,996:354,513:507:483:298:776:257:806:466,2.203942776090241
8.0,0.13333333333333333,0.0009990791894916476,887:434,996:354,513:507:483:298:776:257:806:466,2.203942776090241
9.0,0.15,0.0009990791894916476,887:434,996:354,513:507:483:298:776:257:806:466,2.203942776090241
10.0,0.16666666666666666,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:465,2.203942776090241
11.0,0.18333333333333332,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:465,2.203942776090241
12.0,0.2,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:465,2.203942776090241
13.0,0.21666666666666667,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
14.0,0.23333333333333334,0.0009990791894916476,887:434,996:355,513:508:483:300:776:257:806:465,2.197954165741466
15.0,0.25,0.0009990791894916476,887:434,997:354,513:508:483:300:776:257:806:465,2.1995926132103296
16.0,0.26666666666666666,0.0009990791894916476,887:434,997:355,513:508:483:300:776:257:806:465,2.19362091438188
17.0,0.2833333333333333,0.0009990791894916476,887:434,997:355,513:508:483:300:776:257:806:465,2.19362091438188
18.0,0.3,0.0009990791894916476,887:434,997:355,513:507:483:299:776:257:806:466,2.19362091438188
19.0,0.31666666666666665,0.0009990791894916476,887:434,997:355,513:509:482:300:776:257:806:465,2.19362091438188
20.0,0.3333333333333333,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:466,2.19362091438188
21.0,0.35,0.0009990791894916476,887:434,997:355,513:509:483:300:776:257:806:466,2.19362091438188
22.0,0.36666666666666664,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:466,2.19362091438188
23.0,0.38333333333333336,0.0009990791894916476,887:434,997:355,513:508:483:298:776:257:806:466,2.19362091438188
24.0,0.4,0.0009990791894916476,887:434,997:355,513:509:483:300:776:257:806:466,2.19362091438188
25.0,0.4166666666666667,0.0009990791894916476,887:434,997:355,513:508:483:298:776:257:806:466,2.19362091438188
26.0,0.43333333333333335,0.0009990791894916476,887:434,997:355,513:508:483:298:776:257:806:466,2.19362091438188
27.0,0.45,0.0009990791894916476,887:434,997:355,513:508:483:299:776:256:806:466,2.19362091438188
28.0,0.4666666666666667,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:466,2.19362091438188
29.0,0.48333333333333334,0.0009990791894916476,887:434,997:355,513:508:483:298:776:257:806:466,2.19362091438188
30.0,0.5,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:465,2.19362091438188
31.0,0.5166666666666667,0.0009990791894916476,887:435,997:355,513:508:483:299:776:257:806:466,2.1995926132103296
32.0,0.5333333333333333,0.0009990791894916476,887:435,997:355,513:508:483:299:776:257:806:466,2.1995926132103296
33.0,0.55,0.0009990791894916476,887:435,997:355,513:508:483:298:776:257:806:466,2.1995926132103296
34.0,0.5666666666666667,0.0009990791894916476,887:435,997:354,513:508:483:299:776:257:806:466,2.205512888497887
35.0,0.5833333333333334,0.0009990791894916476,887:435,997:355,513:508:483:299:776:257:806:466,2.1995926132103296
36.0,0.6,0.0009990791894916476,887:435,997:355,513:508:483:299:776:257:806:465,2.1995926132103296
37.0,0.6166666666666667,0.0009990791894916476,887:434,996:355,513:508:482:299:776:257:806:465,2.197954165741466
38.0,0.6333333333333333,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:465,2.19362091438188
39.0,0.65,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:466,2.19362091438188
40.0,0.6666666666666666,0.0009990791894916476,887:434,996:355,513:508:483:299:776:257:806:465,2.197954165741466
41.0,0.6833333333333333,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
42.0,0.7,0.0009990791894916476,887:434,996:355,513:508:483:300:776:257:806:466,2.197954165741466
43.0,0.7166666666666667,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
44.0,0.7333333333333333,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
45.0,0.75,0.0009990791894916476,887:434,996:354,513:508:483:300:776:257:806:466,2.203942776090241
46.0,0.7666666666666667,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
47.0,0.7833333333333333,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
48.0,0.8,0.0009990791894916476,887:434,996:354,513:509:483:300:776:257:806:466,2.203942776090241
49.0,0.8166666666666667,0.0009990791894916476,887:434,996:354,513:508:483:300:776:257:806:466,2.203942776090241
50.0,0.8333333333333334,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
51.0,0.85,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
52.0,0.8666666666666667,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
