frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
933.0,15.575959933222038,0.0009513564949536395,1342:248,1448:207,761:450:761:233:1071:233:1071:450,1.939865294162369,-0.5416666666666666:0.875:-0.041666666666666664
934.0,15.592654424040067,0.0009513564949536395,1333:277,1444:250,761:449:761:230:1070:230:1070:449,1.8094056493030977,-0.5416666666666666:0.875:-0.041666666666666664
935.0,15.609348914858098,0.0009513564949536395,1324:304,1437:298,762:449:762:231:1072:231:1072:449,1.6238438565563678,-0.5416666666666666:0.875:-0.041666666666666664
936.0,15.626043405676127,0.0009513564949536395,1314:334,1424:350,762:449:762:231:1075:231:1075:449,1.4263547484202526,-0.5416666666666666:0.875:-0.041666666666666664
937.0,15.642737896494157,0.0009513564949536395,1300:369,1402:412,761:449:761:231:1071:231:1071:449,1.1718356690618725,-0.5416666666666666:0.875:-0.041666666666666664
938.0,15.659432387312187,0.0009513564949536395,1277:412,1373:467,762:449:762:230:1071:230:1071:449,1.0505291367848502,-0.5416666666666666:0.875:-0.041666666666666664
939.0,15.676126878130217,0.0009513564949536395,1256:446,1330:520,762:449:762:229:1071:229:1071:449,0.7853981633974483,-0.5416666666666666:0.875:-0.041666666666666664
940.0,15.692821368948248,0.0009513564949536395,1216:467,1262:572,762:449:762:231:1074:231:1074:449,0.41290994205534587,-0.5416666666666666:0.875:-0.041666666666666664
941.0,15.709515859766277,0.0009513564949536395,1172:478,1191:599,762:449:762:231:1072:231:1072:449,0.15575298075129235,-0.5416666666666666:0.8333333333333334:-0.041666666666666664
942.0,15.726210350584308,0.0009513564949536395,1121:490,1119:612,762:449:762:232:1071:232:1071:449,-0.016391974308005267,-0.5416666666666666:0.8333333333333334:-0.041666666666666664
943.0,15.742904841402337,0.0009513564949536395,1063:503,1048:617,762:449:762:232:1067:232:1067:449,-0.13082739607405697,-0.5416666666666666:0.8333333333333334:-0.041666666666666664
944.0,15.759599332220368,0.0009513564949536395,1015:513,987:618,762:449:762:233:1046:233:1046:449,-0.260602391747341,-0.5:0.8333333333333334:-0.041666666666666664
945.0,15.776293823038397,0.0009513564949536395,968:518,927:618,762:450:762:232:1011:232:1011:450,-0.38909723105527844,-0.5416666666666666:0.875:0.0
946.0,15.792988313856428,0.0009513564949536395,923:522,871:618,762:450:762:233:971:233:971:450,-0.4964227534048819,-0.5416666666666666:0.875:0.0
947.0,15.809682804674457,0.0009513564949536395,875:527,823:620,761:449:761:234:929:234:929:449,-0.5098332286596837,-0.5416666666666666:0.875:0.0
948.0,15.826377295492488,0.0009513564949536395,830:529,779:623,927:449:927:233:1071:233:1071:449,-0.4971079194504563,-0.5416666666666666:0.875:0.0
949.0,15.843071786310517,0.0009513564949536395,786:528,742:626,878:450:878:233:1071:233:1071:450,-0.42200502990221767,-0.5416666666666666:0.875:0.0
950.0,15.859766277128548,0.0009513564949536395,743:520,712:623,818:449:818:233:1071:233:1071:449,-0.29234726619263707,-0.5416666666666666:0.875:0.0
951.0,15.876460767946577,0.0009513564949536395,705:504,686:612,761:449:761:233:1070:233:1070:449,-0.17414393703941786,-0.5833333333333334:0.875:0.0
952.0,15.893155258764608,0.0009513564949536395,676:481,661:593,761:449:761:233:1070:233:1070:449,-0.13313632755164762,-0.5833333333333334:0.875:0.0
953.0,15.909849749582639,0.0009513564949536395,648:455,635:567,761:449:761:233:1070:233:1070:449,-0.11555434167368747,-0.5833333333333334:0.875:0.0
954.0,15.926544240400668,0.0009513564949536395,628:432,608:540,761:449:761:233:1070:233:1070:449,-0.18311081726248413,-0.5416666666666666:0.8333333333333334:0.041666666666666664
955.0,15.943238731218699,0.0009513564949536395,603:407,582:515,761:449:761:233:1070:233:1070:449,-0.1920480172407301,-0.5833333333333334:0.8333333333333334:0.0
956.0,15.959933222036728,0.0009513564949536395,575:382,553:488,761:449:761:233:1070:233:1070:449,-0.20464180982977792,-0.5833333333333334:0.8333333333333334:0.041666666666666664
957.0,15.976627712854759,0.0009513564949536395,539:355,520:460,762:449:762:233:1071:233:1071:449,-0.17901527702148565,-0.5416666666666666:0.8333333333333334:0.0
958.0,15.993322203672788,0.0009513564949536395,519:331,492:436,762:449:762:233:1071:233:1071:449,-0.25168997175818675,-0.5416666666666666:0.8333333333333334:0.0
959.0,16.01001669449082,0.0009513564949536395,501:310,461:410,761:449:761:233:1070:233:1070:449,-0.3805063771123649,-0.5416666666666666:0.8333333333333334:0.0
960.0,16.026711185308848,0.0009513564949536395,484:292,429:382,761:449:761:233:1070:233:1070:449,-0.5485494024505281,-0.5416666666666666:0.875:0.0
961.0,16.043405676126877,0.0009513564949536395,472:273,403:354,761:449:761:233:1070:233:1070:449,-0.705568177685211,-0.5416666666666666:0.875:0.0
962.0,16.06010016694491,0.0009513564949536395,460:258,378:321,761:449:761:233:1070:233:1070:449,-0.9156903231265415,-0.5416666666666666:0.875:0.041666666666666664
963.0,16.07679465776294,0.0009513564949536395,453:243,360:289,761:449:761:233:1070:233:1070:449,-1.1114590359279046,-0.5416666666666666:0.875:0.041666666666666664
964.0,16.093489148580968,0.0009513564949536395,452:230,351:254,761:449:761:233:1070:233:1070:449,-1.3374993752582693,-0.5416666666666666:0.875:0.041666666666666664
965.0,16.110183639398997,0.0009513564949536395,455:219,351:222,761:449:761:233:1070:233:1070:449,-1.5419581699237777,-0.5416666666666666:0.875:0.0
966.0,16.12687813021703,0.0009513564949536395,462:210,357:194,761:449:761:232:1070:232:1070:449,-1.7220140169413374,-0.5833333333333334:0.875:0.0
967.0,16.14357262103506,0.0009513564949536395,471:204,369:171,761:449:761:233:1070:233:1070:449,-1.883697554675281,-0.5416666666666666:0.875:0.0
968.0,16.160267111853088,0.0009513564949536395,481:199,384:153,761:449:761:233:1070:233:1070:449,-2.0136136157594855,-0.5416666666666666:0.875:0.0
969.0,16.17696160267112,0.0009513564949536395,493:198,400:141,761:449:761:233:1070:233:1070:449,-2.1206495094714817,-0.5833333333333334:0.875:0.0
970.0,16.19365609348915,0.0009513564949536395,506:199,419:134,761:449:761:233:1070:233:1070:449,-2.2124558170440185,-0.5416666666666666:0.8333333333333334:0.0
971.0,16.21035058430718,0.0009513564949536395,520:203,437:131,761:449:761:233:1070:233:1070:449,-2.285345530647735,-0.5833333333333334:0.8333333333333334:0.041666666666666664
972.0,16.227045075125208,0.0009513564949536395,534:210,457:132,761:449:761:233:1070:233:1070:449,-2.3626460135853136,-0.5833333333333334:0.8333333333333334:0.041666666666666664
973.0,16.24373956594324,0.0009513564949536395,550:220,476:139,762:449:762:233:1071:233:1071:449,-2.401325115247094,-0.5833333333333334:0.8333333333333334:0.041666666666666664
974.0,16.26043405676127,0.0009513564949536395,566:232,494:149,760:449:760:233:1070:233:1070:449,-2.4270434497369546,-0.5833333333333334:0.875:0.0
975.0,16.2771285475793,0.0009513564949536395,583:247,513:162,761:449:761:232:1071:232:1071:449,-2.452668265374932,-0.5833333333333334:0.875:0.0
976.0,16.293823038397328,0.0009513564949536395,601:263,530:181,1070:450:761:448:762:231:1071:233,-2.4279664231281646,-0.5416666666666666:0.875:0.0
977.0,16.31051752921536,0.0009513564949536395,619:282,545:202,761:449:761:232:1070:232:1070:449,-2.3951358332893844,-0.5416666666666666:0.875:0.0
978.0,16.32721202003339,0.0009513564949536395,638:303,559:228,760:449:760:232:1070:232:1070:449,-2.3302263029807886,-0.5416666666666666:0.875:0.0
979.0,16.34390651085142,0.0009513564949536395,657:325,572:258,1070:450:761:448:763:231:1071:233,-2.2383223869951285,-0.5833333333333334:0.875:0.0
980.0,16.36060100166945,0.0009513564949536395,676:350,584:294,761:449:761:233:1070:233:1070:449,-2.117585167684144,-0.5833333333333334:0.875:0.0
981.0,16.37729549248748,0.0009513564949536395,697:375,597:334,829:449:829:233:1071:233:1071:449,-1.959893557850175,-0.5416666666666666:0.875:0.0
982.0,16.39398998330551,0.0009513564949536395,718:401,614:377,863:449:863:233:1071:233:1071:449,-1.7975951748487824,-0.5416666666666666:0.875:0.0
983.0,16.41068447412354,0.0009513564949536395,740:429,635:431,891:449:891:233:1071:233:1071:449,-1.5517510108128802,-0.5416666666666666:0.875:0.0
984.0,16.42737896494157,0.0009513564949536395,764:459,662:485,913:449:913:233:1071:233:1071:449,-1.321209401357912,-0.5416666666666666:0.875:0.0
985.0,16.4440734557596,0.0009513564949536395,785:484,694:536,930:449:930:233:1071:233:1071:449,-1.0516502125483738,-0.5416666666666666:0.875:0.0
986.0,16.46076794657763,0.0009513564949536395,811:514,744:595,936:449:936:233:1071:233:1071:449,-0.6910842120702678,-0.4166666666666667:0.8333333333333334:0.041666666666666664
987.0,16.47746243739566,0.0009513564949536395,845:543,809:642,1065:456:928:448:940:226:1077:233,-0.348771003583907,-0.08333333333333333:0.625:-0.16666666666666666
988.0,16.49415692821369,0.0009513564949536395,905:554,892:662,1063:459:915:448:931:223:1079:234,-0.11979402275275544,-0.08333333333333333:0.625:-0.16666666666666666
989.0,16.51085141903172,0.0009513564949536395,941:542,977:640,915:449:915:233:1071:233:1071:449,0.3520443143154173,-0.20833333333333334:0.0:0.0
990.0,16.52754590984975,0.0009513564949536395,971:521,1045:599,1068:451:920:448:924:230:1072:233,0.7590884461445261,-0.7083333333333334:-0.20833333333333334:0.375
991.0,16.54424040066778,0.0009513564949536395,1007:495,1101:552,1063:454:932:444:947:224:1078:233,1.0256966734882196,-0.20833333333333334:-0.16666666666666666:0.041666666666666664
992.0,16.56093489148581,0.0009513564949536395,1041:470,1147:504,761:449:761:234:892:234:892:449,1.2604089196625452,-0.20833333333333334:-0.20833333333333334:0.0
