frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1450.0,24.207011686143574,0.0009580615166944796,1062:971,1126:944,824:433:519:413:533:196:839:216,-1.171575557219644,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1451.0,24.223706176961603,0.0009580615166944796,1061:971,1125:946,824:432:519:412:533:196:839:216,-1.1983978801181423,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1452.0,24.24040066777963,0.0009580615166944796,1059:972,1124:949,824:432:519:412:533:196:839:216,-1.2306992072851342,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1453.0,24.257095158597664,0.0009580615166944796,1055:972,1116:944,824:433:519:413:533:196:839:216,-1.1404697136723376,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1454.0,24.273789649415694,0.0009580615166944796,1053:971,1118:948,824:433:519:413:533:196:839:216,-1.2306992072851342,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1455.0,24.290484140233723,0.0009580615166944796,1052:969,1121:952,824:433:519:413:533:195:839:216,-1.3292306196995707,-0.15245395507292633:0.8057063770893217:0.2627488555307144
1456.0,24.307178631051755,0.0009580615166944796,1044:970,1128:951,824:433:519:413:533:196:838:216,-1.348349061368955,-0.15245395507292633:0.8057063770893217:0.2627488555307144
1457.0,24.323873121869784,0.0009580615166944796,1033:968,1131:960,824:433:519:413:533:196:838:216,-1.4893442824890257,-0.15245395507292633:0.8057063770893217:0.2627488555307144
1458.0,24.340567612687813,0.0009580615166944796,1009:968,1141:978,824:433:519:413:533:195:839:216,-1.6464094700317264,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1459.0,24.357262103505843,0.0009580615166944796,998:962,1140:970,824:433:519:413:533:196:839:216,-1.6270748630836587,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1460.0,24.373956594323875,0.0009580615166944796,986:955,1141:980,824:433:519:413:533:196:839:216,-1.730709449953116,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1461.0,24.390651085141904,0.0009580615166944796,973:948,1145:997,824:434:519:414:533:196:839:216,-1.848327936795886,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1462.0,24.407345575959933,0.0009580615166944796,960:940,1150:998,824:433:519:414:533:196:838:216,-1.8670746846808162,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1463.0,24.424040066777962,0.0009580615166944796,943:931,903:806,824:433:519:413:534:196:839:216,0.3097029445424562,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1464.0,24.440734557595995,0.0009580615166944796,918:916,887:797,824:433:519:413:534:196:839:216,0.2548402763680008,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1465.0,24.457429048414024,0.0009580615166944796,904:913,866:789,824:433:519:413:533:196:839:216,0.29736514522392365,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1466.0,24.474123539232053,0.0009580615166944796,886:903,856:779,824:433:519:413:533:196:839:216,0.2373742469731708,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1467.0,24.490818030050082,0.0009580615166944796,854:886,838:770,824:433:519:413:533:196:839:216,0.13706617431018764,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1468.0,24.507512520868115,0.0009580615166944796,828:875,817:758,824:434:519:414:533:196:839:216,0.09374154154424845,-0.15245395507292633:0.8376450548280633:0.2627488555307144
1469.0,24.524207011686144,0.0009580615166944796,832:862,799:748,824:434:519:414:533:196:838:216,0.28177186727335213,-0.056637921856701544:0.8057063770893217:0.23081017779197285
1470.0,24.540901502504173,0.0009580615166944796,809:851,776:737,824:434:519:414:533:196:838:216,0.28177186727335213,-0.056637921856701544:0.8057063770893217:0.23081017779197285
1471.0,24.557595993322206,0.0009580615166944796,786:838,755:726,824:434:519:414:533:196:839:216,0.27002561614486076,0.0072394336207816535:0.7418290216118384:0.07111678909826485
1472.0,24.574290484140235,0.0009580615166944796,763:827,734:715,824:434:519:414:533:196:838:216,0.25336421080613875,0.10305546683700645:1.093154476737996:-0.5037794101990839
1473.0,24.590984974958264,0.0009580615166944796,741:816,711:704,824:434:519:414:533:196:838:216,0.26171350240120506,0.07111678909826485:1.188970509954221:-0.4399020547216007
1474.0,24.607679465776293,0.0009580615166944796,711:812,687:693,824:434:519:414:533:196:838:216,0.19901106732975968,-0.024699244117959946:1.2528478654317041:-0.28020866602789274
1475.0,24.624373956594326,0.0009580615166944796,687:802,662:683,824:434:519:414:533:196:838:216,0.20707267711703156,-0.056637921856701544:1.2209091876929625:-0.18439263281166796
1476.0,24.641068447412355,0.0009580615166944796,662:793,641:674,824:434:519:415:533:197:838:216,0.1746721990082397,-0.12051527733418474:1.1570318322154791:-0.024699244117959946
1477.0,24.657762938230384,0.0009580615166944796,636:784,622:665,824:433:519:414:533:196:838:216,0.11710874456686428,-0.08857659959544315:1.093154476737996:0.03917811135952325
1478.0,24.674457429048413,0.0009580615166944796,613:775,602:656,824:434:519:414:533:196:838:216,0.09217503755646181,-0.08857659959544315:1.093154476737996:0.03917811135952325
1479.0,24.691151919866446,0.0009580615166944796,590:768,580:648,824:434:519:415:533:196:838:216,0.08314123188844123,0.0072394336207816535:1.1250931544767375:-0.056637921856701544
1480.0,24.707846410684475,0.0009580615166944796,566:760,562:640,824:434:519:415:533:196:838:216,0.033320995878247196,0.07111678909826485:1.1250931544767375:-0.12051527733418474
1481.0,24.724540901502504,0.0009580615166944796,545:750,548:633,824:434:519:415:533:196:838:216,-0.02563540852167748,0.07111678909826485:1.1250931544767375:-0.12051527733418474
1482.0,24.741235392320533,0.0009580615166944796,524:739,533:627,824:434:519:415:533:196:838:216,-0.08018484730131624,0.19887150005323126:1.1250931544767375:-0.28020866602789274
1483.0,24.757929883138566,0.0009580615166944796,502:731,521:624,824:434:519:415:533:196:838:216,-0.17573829668536678,0.2627488555307144:1.093154476737996:-0.4079633769828591
1484.0,24.774624373956595,0.0009580615166944796,481:724,506:620,825:433:520:414:533:197:838:216,-0.23590861706847166,0.2627488555307144:1.0292771212605127:-0.5037794101990839
1485.0,24.791318864774624,0.0009580615166944796,462:718,491:616,824:433:519:414:533:197:838:216,-0.2770043229420266,0.16693282231448964:1.0292771212605127:-0.5037794101990839
1486.0,24.808013355592657,0.0009580615166944796,446:713,475:612,824:433:519:414:533:197:838:216,-0.2796068478030448,0.10305546683700645:1.0292771212605127:-0.47184073246034236
1487.0,24.824707846410686,0.0009580615166944796,430:709,459:608,824:433:520:414:533:197:838:216,-0.2796068478030448,-0.024699244117959946:1.0292771212605127:-0.3440860215053759
1488.0,24.841402337228715,0.0009580615166944796,415:706,443:605,824:433:519:414:533:197:838:216,-0.2704361251530001,-0.12051527733418474:0.9653997657830297:-0.18439263281166796
1489.0,24.858096828046744,0.0009580615166944796,402:704,427:602,824:433:519:414:533:197:838:216,-0.24035975832980774,-0.15245395507292633:0.9015224103055465:-0.056637921856701544
1490.0,24.874791318864776,0.0009580615166944796,391:702,413:599,824:433:519:414:533:197:838:216,-0.2104302033464736,-0.15245395507292633:0.8695837325668049:0.0072394336207816535
1491.0,24.891485809682806,0.0009580615166944796,380:701,404:600,824:434:520:415:533:197:838:216,-0.23329695153662725,-0.15245395507292633:0.8695837325668049:0.0072394336207816535
1492.0,24.908180300500835,0.0009580615166944796,369:700,388:597,824:434:519:415:533:196:838:216,-0.18241540708251086,-0.08857659959544315:0.8376450548280633:0.03917811135952325
