frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1054.0,17.59599332220367,0.0009644252137776796,694:616,750:519,1228:292:922:277:933:61:1238:76,-0.523575764122014,0.7340230628300461:0.41071236124582383:0.21672594029529038
1055.0,17.612687813021704,0.0009644252137776796,734:624,779:524,1227:292:922:277:932:61:1238:76,-0.4228539261329407,0.7340230628300461:0.41071236124582383:0.21672594029529038
1056.0,17.629382303839733,0.0009644252137776796,770:630,808:528,1227:292:922:277:933:61:1238:76,-0.35662013595143194,0.7340230628300461:0.41071236124582383:0.21672594029529038
1057.0,17.646076794657763,0.0009644252137776796,816:640,836:533,1228:292:922:277:933:60:1238:76,-0.18478361596982434,0.7340230628300461:0.41071236124582383:0.21672594029529038
1058.0,17.66277128547579,0.0009644252137776796,851:648,866:539,1227:292:922:277:933:61:1238:76,-0.1367557117309045,0.7340230628300461:0.41071236124582383:0.21672594029529038
1059.0,17.679465776293824,0.0009644252137776796,901:659,897:546,1227:292:922:277:933:60:1238:76,0.035383456124151315,0.7340230628300461:0.41071236124582383:0.21672594029529038
1060.0,17.696160267111853,0.0009644252137776796,947:668,928:556,1227:292:922:277:933:61:1238:76,0.16804302533816318,0.7340230628300461:0.41071236124582383:0.21672594029529038
1061.0,17.712854757929883,0.0009644252137776796,,,1227:292:922:277:933:61:1238:76,,0.7340230628300461:0.41071236124582383:0.21672594029529038
1062.0,17.729549248747915,0.0009644252137776796,,,1227:292:922:277:933:61:1238:76,,0.7340230628300461:0.41071236124582383:0.21672594029529038
1063.0,17.746243739565944,0.0009644252137776796,1103:673,1042:580,1227:292:922:277:933:61:1238:76,0.5805214463603399,0.7340230628300461:0.41071236124582383:0.21672594029529038
1064.0,17.762938230383973,0.0009644252137776796,1140:691,1081:590,1227:292:922:277:933:61:1238:76,0.5286898329640626,0.7340230628300461:0.41071236124582383:0.21672594029529038
1065.0,17.779632721202002,0.0009644252137776796,1151:702,1116:601,1227:292:922:277:933:61:1238:76,0.3335843214997931,0.7340230628300461:0.41071236124582383:0.21672594029529038
1066.0,17.796327212020035,0.0009644252137776796,1219:709,1169:604,1227:292:922:277:933:60:1238:76,0.4444192099010989,0.7340230628300461:0.41071236124582383:0.21672594029529038
1067.0,17.813021702838064,0.0009644252137776796,1257:719,1212:616,1227:292:922:277:933:60:1238:76,0.4119010172909708,0.7340230628300461:0.41071236124582383:0.21672594029529038
1068.0,17.829716193656093,0.0009644252137776796,1284:730,1251:626,1227:292:922:277:933:60:1238:76,0.3072588153311422,0.7340230628300461:0.41071236124582383:0.21672594029529038
1069.0,17.846410684474122,0.0009644252137776796,1325:737,1287:637,1227:292:922:277:933:61:1238:76,0.36314700994617627,0.7340230628300461:0.41071236124582383:0.21672594029529038
1070.0,17.863105175292155,0.0009644252137776796,1366:745,1322:647,1227:292:922:277:933:60:1238:76,0.42200502990221767,0.7340230628300461:0.41071236124582383:0.21672594029529038
1071.0,17.879799666110184,0.0009644252137776796,1402:753,1350:662,1227:292:922:277:933:60:1238:76,0.5191461142465229,0.7340230628300461:0.41071236124582383:0.21672594029529038
1072.0,17.896494156928213,0.0009644252137776796,1448:755,1382:667,1227:292:922:277:933:60:1238:76,0.6435011087932844,0.7340230628300461:0.41071236124582383:0.21672594029529038
1073.0,17.913188647746246,0.0009644252137776796,1488:758,1410:680,1227:292:922:277:933:60:1238:76,0.7853981633974483,0.7340230628300461:0.41071236124582383:0.21672594029529038
1074.0,17.929883138564275,0.0009644252137776796,1516:766,1436:690,1227:292:922:277:933:60:1238:76,0.8110335719191258,0.7340230628300461:0.41071236124582383:0.21672594029529038
1075.0,17.946577629382304,0.0009644252137776796,1549:770,1461:701,1227:292:922:277:933:60:1238:76,0.9058316094194497,0.7663541329884684:0.44304343140424607:0.18439487013686814
1076.0,17.963272120200333,0.0009644252137776796,1579:775,1490:706,1227:292:922:277:933:60:1238:76,0.9113107890832465,0.7663541329884684:0.41071236124582383:0.21672594029529038
1077.0,17.979966611018366,0.0009644252137776796,1606:780,1514:712,1227:292:922:277:933:61:1238:76,0.9342881110069455,0.7663541329884684:0.41071236124582383:0.21672594029529038
1078.0,17.996661101836395,0.0009644252137776796,1630:785,1543:712,1227:292:922:277:933:61:1238:76,0.8726758763469098,0.7663541329884684:0.41071236124582383:0.21672594029529038
1079.0,18.013355592654424,0.0009644252137776796,1652:790,1569:720,1227:292:922:277:933:61:1238:76,0.870161892510066,0.7340230628300461:0.3783812910874016:0.21672594029529038
1080.0,18.030050083472453,0.0009644252137776796,1669:793,1593:720,1227:292:922:277:933:61:1238:76,0.8055296715278508,0.7340230628300461:0.3783812910874016:0.21672594029529038
1081.0,18.046744574290486,0.0009644252137776796,1684:797,1613:721,1228:292:922:277:933:61:1238:76,0.7513976659250272,0.7340230628300461:0.41071236124582383:0.21672594029529038
1082.0,18.063439065108515,0.0009644252137776796,1698:799,1633:723,1228:292:922:277:933:61:1238:76,0.7075416738544792,0.7340230628300461:0.41071236124582383:0.21672594029529038
1083.0,18.080133555926544,0.0009644252137776796,1710:799,1647:723,1228:292:922:277:933:61:1238:76,0.6921442482926684,0.7340230628300461:0.41071236124582383:0.21672594029529038
1084.0,18.096828046744573,0.0009644252137776796,1721:797,1654:724,1228:292:922:277:933:61:1238:76,0.742567230728721,0.7340230628300461:0.41071236124582383:0.21672594029529038
