frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1213.0,20.25041736227045,0.0009593935829033296,966:850,1027:940,616:495:614:282:916:279:918:493,0.5956555153657105,-0.8747743995557403:-0.45828127169235017:0.04151048174371801
1214.0,20.26711185308848,0.0009593935829033296,944:863,996:959,616:495:615:281:916:279:918:493,0.4964227534048819,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1215.0,20.283806343906512,0.0009593935829033296,920:874,963:974,616:495:614:282:916:279:918:493,0.40609805831761564,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1216.0,20.30050083472454,0.0009593935829033296,894:883,927:986,616:495:614:282:916:279:918:493,0.31005518123095327,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1217.0,20.31719532554257,0.0009593935829033296,865:890,890:997,616:495:615:282:916:279:918:493,0.2295273542432904,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1218.0,20.333889816360603,0.0009593935829033296,835:895,848:1003,616:495:614:282:916:279:918:493,0.11979402275275544,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1219.0,20.350584307178632,0.0009593935829033296,804:896,809:1005,616:495:614:282:916:279:918:493,0.04583942588111677,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1220.0,20.36727879799666,0.0009593935829033296,773:895,767:1003,616:495:614:282:916:279:918:493,-0.05549850524571683,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1221.0,20.38397328881469,0.0009593935829033296,741:890,727:996,616:495:614:282:916:279:918:493,-0.13131543898308803,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1222.0,20.400667779632723,0.0009593935829033296,711:882,689:986,616:495:614:282:916:279:918:493,-0.20846521837998772,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1223.0,20.417362270450752,0.0009593935829033296,684:871,652:971,616:495:614:282:916:279:918:493,-0.3097029445424562,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1224.0,20.43405676126878,0.0009593935829033296,661:862,621:959,616:495:614:282:916:279:918:493,-0.3911254469690291,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1225.0,20.45075125208681,0.0009593935829033296,639:849,590:941,616:495:614:282:916:279:918:493,-0.4893929922278579,-0.8747743995557403:-0.45828127169235017:0.08315979453005704
1226.0,20.467445742904843,0.0009593935829033296,620:836,563:923,616:495:614:282:916:279:918:493,-0.5800027742076809,-0.8331250867694013:-0.45828127169235017:0.08315979453005704
1227.0,20.484140233722872,0.0009593935829033296,603:822,539:904,616:495:614:282:916:279:918:493,-0.6627295078929916,-0.8331250867694013:-0.45828127169235017:0.08315979453005704
1228.0,20.5008347245409,0.0009593935829033296,588:809,519:886,616:495:615:282:916:279:918:493,-0.7306583833475676,-0.6665278356240453:-0.4999305844786892:-0.0001388310426210038
