frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
438.0,7.312186978297162,0.0009571091706762501,1115:314,1187:228,716:432:715:214:1018:212:1020:430,2.444571276337194,-0.625:0.8333333333333334:-0.041666666666666664
439.0,7.328881469115192,0.0009571091706762501,1120:321,1195:236,717:432:717:213:1021:213:1021:432,2.4186133001883023,-0.625:0.8333333333333334:-0.041666666666666664
440.0,7.345575959933222,0.0009571091706762501,1127:328,1205:246,717:433:715:215:1019:211:1021:430,2.381189283811265,-0.625:0.8333333333333334:-0.041666666666666664
441.0,7.362270450751252,0.0009571091706762501,1135:337,1216:257,717:434:715:215:1019:211:1021:431,2.3499833899394784,-0.625:0.8333333333333334:-0.041666666666666664
442.0,7.378964941569282,0.0009571091706762501,1144:349,1228:272,717:434:715:215:1019:211:1022:431,2.312743594800814,-0.625:0.8333333333333334:-0.041666666666666664
443.0,7.395659432387312,0.0009571091706762501,1154:362,1242:290,717:433:715:215:1019:211:1021:430,2.256525837701183,-0.625:0.8333333333333334:-0.041666666666666664
444.0,7.412353923205343,0.0009571091706762501,1164:378,1256:312,717:432:715:214:1020:211:1022:430,2.193099197982104,-0.625:0.7916666666666666:-0.08333333333333333
445.0,7.429048414023373,0.0009571091706762501,1174:396,1270:337,717:432:715:214:1020:211:1021:430,2.121869914040114,-0.625:0.8333333333333334:-0.041666666666666664
446.0,7.445742904841403,0.0009571091706762501,1183:417,1285:366,717:434:715:215:1020:211:1022:430,2.0344439357957027,-0.5833333333333334:0.8333333333333334:-0.08333333333333333
447.0,7.462437395659433,0.0009571091706762501,1191:441,1297:400,716:431:716:212:1020:212:1020:431,1.939865294162369,-0.625:0.8333333333333334:-0.08333333333333333
448.0,7.479131886477463,0.0009571091706762501,1199:469,1307:439,717:431:717:212:1021:212:1021:431,1.8417431771333173,-0.625:0.8333333333333334:-0.08333333333333333
