time,m_per_pixel,g_center,r_center,rect_points,angle
0.016666666666666666,0.0009990791894916476,887:434,996:354,513:507:483:298:776:257:806:466,126.276619358317
0.03333333333333333,0.0010003426803221849,887:434,996:354,513:508:483:299:776:257:806:465,126.276619358317
0.05,0.001000408385532951,887:434,996:354,513:508:482:300:776:257:806:465,126.276619358317
0.06666666666666667,0.001000408385532951,887:434,996:354,513:508:482:300:776:257:806:465,126.276619358317
0.08333333333333333,0.001000408385532951,887:434,996:354,513:508:482:300:776:257:807:465,126.276619358317
0.1,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:465,126.276619358317
0.11666666666666667,0.001000408385532951,887:434,996:354,513:508:483:300:776:257:806:465,126.276619358317
0.13333333333333333,0.0010010072783428366,887:434,996:354,513:508:483:299:776:257:806:465,126.276619358317
0.15,0.001000408385532951,887:434,996:354,513:507:483:298:776:257:806:466,126.276619358317
0.16666666666666666,0.0010010072783428366,887:434,996:354,513:508:483:299:776:257:806:465,126.276619358317
0.18333333333333332,0.001001606171152722,887:434,996:354,513:508:483:299:776:257:806:465,126.276619358317
0.2,0.001001606171152722,887:434,996:354,513:508:483:299:776:257:806:465,126.276619358317
0.21666666666666667,0.001001606171152722,887:434,996:354,513:508:483:298:776:257:806:466,126.276619358317
0.23333333333333334,0.001001606171152722,887:434,996:355,513:508:483:300:776:257:806:465,125.93349726018384
0.25,0.001001606171152722,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
0.26666666666666666,0.001001606171152722,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
0.2833333333333333,0.001001606171152722,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
0.3,0.001001606171152722,887:434,997:355,513:508:482:300:776:257:806:465,125.68522024571024
0.31666666666666665,0.001001606171152722,887:434,997:355,513:509:482:300:776:257:806:465,125.68522024571024
0.3333333333333333,0.001001606171152722,887:434,997:355,513:508:482:300:776:257:806:465,125.68522024571024
0.35,0.001001606171152722,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
0.36666666666666664,0.001001606171152722,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
0.38333333333333336,0.001001606171152722,887:434,997:355,513:508:483:298:776:257:806:466,125.68522024571024
0.4,0.001001606171152722,887:434,997:355,513:509:483:300:776:257:806:466,125.68522024571024
0.4166666666666667,0.001001606171152722,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
0.43333333333333335,0.001001606171152722,887:434,997:355,513:508:483:298:776:257:806:466,125.68522024571024
0.45,0.001001606171152722,887:435,997:355,513:508:483:299:776:256:806:466,126.02737338510362
0.4666666666666667,0.001001606171152722,887:434,997:355,513:508:483:298:776:257:806:466,125.68522024571024
0.48333333333333334,0.001001606171152722,887:434,997:355,513:508:483:298:776:257:806:466,125.68522024571024
0.5,0.001001606171152722,887:434,997:355,513:508:483:299:776:257:806:465,125.68522024571024
0.5166666666666667,0.001001606171152722,887:435,997:355,513:508:483:299:776:257:806:465,126.02737338510362
0.5333333333333333,0.001001606171152722,887:435,997:355,513:508:483:299:776:257:806:466,126.02737338510362
0.55,0.001001606171152722,887:435,997:355,513:508:483:298:776:257:806:466,126.02737338510362
0.5666666666666667,0.0010010072783428366,887:435,997:354,513:508:483:299:776:257:806:466,126.36658017263625
0.5833333333333334,0.001000408385532951,887:435,997:355,513:508:483:299:776:257:806:466,126.02737338510362
0.6,0.0010010072783428366,887:435,997:355,513:508:483:299:776:257:806:465,126.02737338510362
0.6166666666666667,0.001001606171152722,887:435,996:355,513:508:483:299:776:257:806:465,126.276619358317
0.6333333333333333,0.001001606171152722,887:435,997:355,513:508:483:299:776:257:806:465,126.02737338510362
0.65,0.001001606171152722,887:435,997:355,513:508:483:299:776:257:806:466,126.02737338510362
0.6666666666666666,0.001001606171152722,887:435,996:354,513:508:483:299:776:257:806:465,126.61675151907066
0.6833333333333333,0.001001606171152722,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.7,0.0010010072783428366,887:434,996:355,513:508:483:299:776:257:806:466,125.93349726018384
0.7166666666666667,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.7333333333333333,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.75,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.7666666666666667,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.7833333333333333,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.8,0.001000408385532951,887:434,996:354,513:509:483:300:776:257:806:466,126.276619358317
0.8166666666666667,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.8333333333333334,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.85,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.8666666666666667,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:465,126.276619358317
0.8833333333333333,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.9,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.9166666666666666,0.001000408385532951,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.9333333333333333,0.00100037622748855,887:434,996:355,513:508:483:299:776:257:806:466,125.93349726018384
0.95,0.0010003440694441492,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.9666666666666667,0.0010003440694441492,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
0.9833333333333333,0.0010003440694441492,887:434,996:354,513:509:483:300:776:257:806:466,126.276619358317
1.0,0.0010003440694441492,887:434,996:354,513:509:483:300:776:257:807:466,126.276619358317
1.0166666666666666,0.0010003440694441492,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
1.0333333333333334,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.05,0.0010003440694441492,887:434,996:354,513:508:483:299:776:257:806:466,126.276619358317
1.0666666666666667,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.0833333333333333,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.1,0.0010003440694441492,887:434,997:354,513:509:483:300:776:257:806:466,126.02737338510362
1.1166666666666667,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.1333333333333333,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.15,0.0010003440694441492,887:434,997:354,513:508:483:298:776:257:806:466,126.02737338510362
1.1666666666666667,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.1833333333333333,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.2,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.2166666666666666,0.0010003440694441492,887:434,997:354,513:507:483:298:776:257:806:466,126.02737338510362
1.2333333333333334,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.25,0.0010003440694441492,887:434,997:354,513:508:483:300:776:257:806:466,126.02737338510362
1.2666666666666666,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:465,126.02737338510362
1.2833333333333334,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.3,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.3166666666666667,0.0010003440694441492,887:434,997:354,513:508:483:300:776:257:806:465,126.02737338510362
1.3333333333333333,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:465,126.02737338510362
1.35,0.0010003440694441492,887:434,997:354,513:508:483:300:776:257:806:465,126.02737338510362
1.3666666666666667,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:465,126.02737338510362
1.3833333333333333,0.0010003440694441492,887:434,997:354,513:508:483:300:776:257:806:465,126.02737338510362
1.4,0.0010003440694441492,887:434,997:354,513:508:483:300:776:257:806:465,126.02737338510362
1.4166666666666667,0.0010003440694441492,887:434,997:354,513:508:483:300:776:257:806:466,126.02737338510362
1.4333333333333333,0.0010003440694441492,887:434,997:355,513:508:483:299:776:257:806:466,125.68522024571024
1.45,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
