frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle
1.0,0.01669449081803005,0.0021272977935522736,680:834,,533:220:533:194:702:194:702:220,
2.0,0.0333889816360601,0.0021272977935522736,680:834,,533:221:533:194:700:194:700:221,
3.0,0.05008347245409015,0.0021272977935522736,680:834,,533:221:533:194:697:194:697:221,
4.0,0.0667779632721202,0.0021272977935522736,680:834,,533:220:533:194:693:194:693:220,
5.0,0.08347245409015025,0.0021272977935522736,679:834,,533:220:533:194:685:194:685:220,
6.0,0.1001669449081803,0.0021272977935522736,680:834,,533:219:533:194:679:194:679:219,
7.0,0.11686143572621036,0.0021272977935522736,680:834,,533:218:533:194:677:194:677:218,
8.0,0.1335559265442404,0.0021272977935522736,680:834,,533:217:533:194:671:194:671:217,
9.0,0.15025041736227046,0.0021272977935522736,680:834,,533:216:533:194:667:194:667:216,
10.0,0.1669449081803005,0.0021272977935522736,680:834,,533:214:533:194:650:194:650:214,
11.0,0.18363939899833057,0.0021272977935522736,680:835,,533:212:533:194:645:194:645:212,
12.0,0.2003338898163606,0.0021272977935522736,680:835,,533:211:533:194:632:194:632:211,
13.0,0.21702838063439064,0.0021272977935522736,680:835,,533:209:533:194:625:194:625:209,
14.0,0.2337228714524207,0.0021272977935522736,680:835,,533:208:533:194:621:194:621:208,
15.0,0.25041736227045075,0.0021272977935522736,680:835,,534:208:534:194:616:194:616:208,
16.0,0.2671118530884808,0.0021272977935522736,680:835,,534:207:534:194:611:194:611:207,
17.0,0.2838063439065109,0.0021272977935522736,680:835,,534:207:533:194:607:189:608:202,
18.0,0.3005008347245409,0.0021272977935522736,680:835,,534:207:534:194:608:194:608:207,
19.0,0.31719532554257096,0.0021272977935522736,681:835,,534:209:534:194:614:194:614:209,
20.0,0.333889816360601,0.0021272977935522736,680:835,,533:212:533:194:625:194:625:212,
21.0,0.35058430717863104,0.0021272977935522736,680:835,,638:224:532:216:533:193:640:201,
22.0,0.36727879799666113,0.0021272977935522736,680:835,,533:224:533:195:665:195:665:224,
