frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle
1.0,0.01669449081803005,0.0018344675348539161,898:850,896:957,1672:1056:1670:859:1698:858:1700:1055,-0.018689412446905664
2.0,0.0333889816360601,0.0018344675348539161,898:850,896:957,1646:1047:1646:859:1699:859:1699:1047,-0.018689412446905664
3.0,0.05008347245409015,0.00180682922808305,898:850,896:957,1630:1048:1628:859:1698:858:1700:1047,-0.018689412446905664
4.0,0.0667779632721202,0.00180682922808305,898:850,896:957,1630:1047:1630:859:1700:859:1700:1047,-0.018689412446905664
5.0,0.08347245409015025,0.0017746730440379556,898:849,896:957,1630:1051:1630:858:1699:858:1699:1051,-0.018516402068009044
6.0,0.1001669449081803,0.0017746730440379556,898:849,896:957,1631:1045:1629:858:1698:857:1700:1044,-0.018516402068009044
7.0,0.11686143572621036,0.0017746730440379556,898:849,896:957,1631:1046:1631:858:1699:858:1699:1046,-0.018516402068009044
8.0,0.1335559265442404,0.0017746730440379556,898:849,896:957,1634:1048:1630:858:1697:857:1701:1046,-0.018516402068009044
9.0,0.15025041736227046,0.0017583621498571452,898:849,896:957,1625:1051:1623:858:1698:857:1700:1050,-0.018516402068009044
10.0,0.1669449081803005,0.0017583621498571452,897:849,896:957,1632:1047:1630:859:1699:858:1700:1046,-0.009258994662123083
11.0,0.18363939899833057,0.0017583621498571452,895:849,894:957,1630:1047:1628:859:1698:858:1700:1046,-0.009258994662123083
12.0,0.2003338898163606,0.0017583621498571452,891:849,891:957,1630:1045:1630:858:1700:858:1700:1045,0.0
13.0,0.21702838063439064,0.0017583621498571452,887:849,888:957,1631:1045:1631:858:1700:858:1700:1045,0.009258994662123083
14.0,0.2337228714524207,0.0017583621498571452,884:848,884:957,1636:1047:1630:859:1697:857:1703:1045,0.0
15.0,0.25041736227045075,0.0017583621498571452,881:849,881:956,1623:1046:1623:859:1700:859:1700:1046,0.0
16.0,0.2671118530884808,0.0017583621498571452,878:841,,1623:1046:1623:859:1700:859:1700:1046,
17.0,0.2838063439065109,0.0017583621498571452,,,1636:1050:1630:859:1697:857:1703:1048,
18.0,0.3005008347245409,0.0017583621498571452,,,1636:1054:1631:859:1697:857:1702:1052,
19.0,0.31719532554257096,0.0017583621498571452,,,1630:1052:1628:859:1698:858:1700:1051,
20.0,0.333889816360601,0.0017583621498571452,,,1628:1049:1628:858:1700:858:1700:1049,
21.0,0.35058430717863104,0.0017212736535335272,,,1621:1054:1621:858:1700:858:1700:1054,
22.0,0.36727879799666113,0.0017212736535335272,,,1623:1055:1623:859:1700:859:1700:1055,
23.0,0.38397328881469117,0.0017212736535335272,,,1621:1052:1621:859:1700:859:1700:1052,
24.0,0.4006677796327212,0.0017212736535335272,,,1624:1051:1624:859:1700:859:1700:1051,
25.0,0.41736227045075125,0.0017212736535335272,,,1621:1052:1621:859:1700:859:1700:1052,
26.0,0.4340567612687813,0.0017212736535335272,,,1623:1048:1623:859:1700:859:1700:1048,
27.0,0.4507512520868114,0.0017212736535335272,,,1622:1049:1622:859:1700:859:1700:1049,
28.0,0.4674457429048414,0.0017212736535335272,,,1625:1046:1625:859:1700:859:1700:1046,
29.0,0.48414023372287146,0.0017212736535335272,,,1622:1046:1622:859:1700:859:1700:1046,
30.0,0.5008347245409015,0.0017212736535335272,,,1622:1046:1622:859:1700:859:1700:1046,
31.0,0.5175292153589316,0.0017212736535335272,,,1625:1047:1625:859:1700:859:1700:1047,
32.0,0.5342237061769616,0.0017212736535335272,,,1629:1046:1629:859:1700:859:1700:1046,
33.0,0.5509181969949917,0.0017212736535335272,,,1627:1046:1627:859:1701:859:1701:1046,
34.0,0.5676126878130218,0.0017212736535335272,,,1621:1045:1621:859:1700:859:1700:1045,
35.0,0.5843071786310517,0.0017212736535335272,,,1619:1047:1619:859:1700:859:1700:1047,
36.0,0.6010016694490818,0.0017212736535335272,,,1635:1048:1631:859:1698:858:1702:1046,
37.0,0.6176961602671118,0.0017212736535335272,,,1637:1058:1631:860:1697:858:1704:1056,
38.0,0.6343906510851419,0.0017212736535335272,,,1635:1046:1631:859:1698:858:1702:1044,
39.0,0.651085141903172,0.0017212736535335272,,,1635:1048:1631:859:1698:858:1702:1046,
40.0,0.667779632721202,0.0017212736535335272,,,1635:1047:1631:859:1698:858:1702:1045,
41.0,0.6844741235392321,0.0017212736535335272,,,1634:1045:1631:859:1698:858:1701:1044,
42.0,0.7011686143572621,0.0017212736535335272,,,1637:1047:1631:860:1697:857:1703:1045,
43.0,0.7178631051752922,0.0017212736535335272,,,1626:1046:1626:859:1700:859:1700:1046,
44.0,0.7345575959933223,0.0017212736535335272,,,1637:1045:1631:860:1697:858:1703:1043,
45.0,0.7512520868113522,0.0017212736535335272,,,1627:1055:1627:859:1700:859:1700:1055,
46.0,0.7679465776293823,0.0017212736535335272,,,1635:1044:1631:859:1698:858:1702:1042,
47.0,0.7846410684474123,0.0017212736535335272,,,1629:1045:1627:859:1699:858:1701:1044,
48.0,0.8013355592654424,0.0017212736535335272,,,1632:1044:1630:859:1699:858:1701:1043,
49.0,0.8180300500834725,0.0017212736535335272,,,1631:1047:1629:859:1699:858:1701:1046,
50.0,0.8347245409015025,0.0017212736535335272,,,1632:1057:1630:859:1699:858:1701:1056,
51.0,0.8514190317195326,0.0017212736535335272,,,1633:1057:1633:859:1701:859:1701:1057,
52.0,0.8681135225375626,0.0017212736535335272,,,1634:1054:1632:859:1699:858:1701:1053,
53.0,0.8848080133555927,0.0017212736535335272,,,1631:1054:1629:859:1699:858:1701:1053,
54.0,0.9015025041736228,0.0017212736535335272,,,1633:1055:1631:859:1699:858:1701:1054,
55.0,0.9181969949916527,0.0017212736535335272,,,1635:1057:1631:859:1698:858:1702:1055,
56.0,0.9348914858096828,0.0017212736535335272,,,1635:1056:1631:859:1698:858:1702:1054,
57.0,0.9515859766277128,0.0017212736535335272,,,1637:1050:1631:860:1697:858:1703:1048,
58.0,0.9682804674457429,0.0017212736535335272,,,1635:1044:1631:859:1698:858:1702:1042,
59.0,0.984974958263773,0.0017212736535335272,,,1632:1042:1630:859:1699:858:1701:1041,
60.0,1.001669449081803,0.0017212736535335272,,,1630:1046:1628:859:1699:858:1701:1045,
61.0,1.018363939899833,0.0017212736535335272,,,1626:1036:1624:859:1699:858:1701:1035,
62.0,1.0350584307178632,0.0017212736535335272,,,1625:1043:1623:859:1699:858:1701:1042,
63.0,1.0517529215358932,0.0017212736535335272,,,1636:1054:1632:859:1698:858:1702:1052,
64.0,1.0684474123539232,0.0017212736535335272,,,1634:1053:1632:859:1699:858:1701:1052,
65.0,1.0851419031719534,0.0017212736535335272,,,1626:1053:1624:859:1699:858:1701:1052,
66.0,1.1018363939899833,0.0017212736535335272,,,1636:1055:1632:859:1698:858:1702:1053,
67.0,1.1185308848080133,0.0017212736535335272,,,1628:1055:1626:859:1699:858:1701:1054,
68.0,1.1352253756260435,0.0017212736535335272,,,1626:1055:1624:859:1699:858:1701:1054,
69.0,1.1519198664440735,0.0017212736535335272,,,1625:1055:1623:859:1699:858:1701:1054,
70.0,1.1686143572621035,0.0017212736535335272,,,1636:1056:1632:859:1698:858:1702:1054,
71.0,1.1853088480801335,0.0017212736535335272,,,1636:1056:1632:859:1698:858:1702:1054,
72.0,1.2020033388981637,0.0017212736535335272,,,1628:1054:1628:859:1700:859:1700:1054,
73.0,1.2186978297161937,0.0017212736535335272,,,1636:1057:1632:859:1698:858:1702:1055,
74.0,1.2353923205342237,0.0017212736535335272,,,1636:1055:1632:859:1698:858:1702:1053,
75.0,1.2520868113522539,0.0017212736535335272,,,1627:1055:1627:859:1700:859:1700:1055,
76.0,1.2687813021702838,0.0017212736535335272,,,1629:1055:1629:859:1700:859:1700:1055,
77.0,1.2854757929883138,0.0017212736535335272,,,1636:1053:1632:859:1698:858:1702:1051,
78.0,1.302170283806344,0.0017212736535335272,,,1638:1055:1632:860:1697:857:1704:1053,
79.0,1.318864774624374,0.0017212736535335272,,,1636:1056:1632:859:1698:858:1702:1054,
80.0,1.335559265442404,0.0017212736535335272,,,1636:1047:1632:859:1698:858:1702:1045,
81.0,1.352253756260434,0.0017212736535335272,,,1636:1046:1632:859:1698:858:1702:1044,
82.0,1.3689482470784642,0.0017212736535335272,,,1636:1046:1632:859:1698:858:1702:1044,
83.0,1.3856427378964942,0.0017212736535335272,,,1624:1047:1624:859:1700:859:1700:1047,
84.0,1.4023372287145242,0.0017212736535335272,,,1636:1048:1632:859:1698:858:1702:1046,
85.0,1.4190317195325544,0.0017212736535335272,,,1638:1036:1632:860:1697:858:1703:1034,
86.0,1.4357262103505843,0.0017212736535335272,,,1633:1044:1633:859:1700:859:1700:1044,
87.0,1.4524207011686143,0.0017212736535335272,,,1638:1048:1632:860:1697:857:1704:1046,
88.0,1.4691151919866445,0.0017212736535335272,,,1639:1050:1632:860:1697:857:1704:1048,
89.0,1.4858096828046745,0.0017212736535335272,,,1639:1050:1632:860:1697:857:1704:1048,
90.0,1.5025041736227045,0.0017212736535335272,,,1631:1049:1629:859:1699:858:1701:1048,
91.0,1.5191986644407347,0.0017212736535335272,,,1629:1050:1629:859:1700:859:1700:1050,
92.0,1.5358931552587647,0.0017212736535335272,,,1628:1049:1628:859:1700:859:1700:1049,
93.0,1.5525876460767947,0.0017212736535335272,,,1636:1053:1632:859:1698:858:1702:1051,
94.0,1.5692821368948247,0.0017212736535335272,,,1632:1050:1630:859:1699:858:1701:1049,
95.0,1.5859766277128549,0.0017212736535335272,,,1632:1046:1630:859:1699:858:1701:1045,
96.0,1.6026711185308848,0.0017212736535335272,,,1630:1045:1628:859:1699:858:1701:1044,
97.0,1.6193656093489148,0.0017212736535335272,,,1629:1045:1627:859:1699:858:1701:1044,
98.0,1.636060100166945,0.0017212736535335272,,,1630:1044:1628:860:1699:859:1701:1043,
99.0,1.652754590984975,0.0017212736535335272,,,1636:1050:1632:859:1698:858:1702:1048,
100.0,1.669449081803005,0.0017212736535335272,,,1636:1060:1632:859:1698:858:1702:1058,
101.0,1.6861435726210352,0.0017212736535335272,,,1636:1052:1632:859:1698:858:1702:1050,
102.0,1.7028380634390652,0.0017212736535335272,,,1636:1053:1632:859:1698:858:1702:1051,
103.0,1.7195325542570952,0.0017212736535335272,,,1636:1054:1632:859:1698:858:1702:1052,
104.0,1.7362270450751252,0.0017212736535335272,,,1639:1052:1632:860:1697:858:1704:1050,
105.0,1.7529215358931554,0.0017212736535335272,,,1638:1053:1632:860:1697:858:1704:1051,
106.0,1.7696160267111853,0.0017212736535335272,,,1636:1053:1632:859:1698:858:1702:1051,
107.0,1.7863105175292153,0.0017212736535335272,,,1636:1054:1632:859:1698:858:1702:1052,
